"","symbol","date","open","high","low","close","volume","adjusted"
"1","XLF",2018-06-20,27.6,27.6,27.25,27.280001,42833600,26.225452
"2","XLF",2018-06-21,27.190001,27.360001,27.01,27.200001,75190900,26.148546
"3","XLF",2018-06-22,27.389999,27.42,27.049999,27.07,61389400,26.023569
"4","XLF",2018-06-25,26.950001,27,26.6,26.780001,80746100,25.744781
"5","XLF",2018-06-26,26.799999,26.83,26.52,26.690001,56387800,25.65826
"6","XLF",2018-06-27,26.68,26.879999,26.35,26.360001,78099200,25.341021
"7","XLF",2018-06-28,26.360001,26.700001,26.309999,26.59,78544800,25.562126
"8","XLF",2018-06-29,26.92,27.07,26.549999,26.59,77149900,25.562126
"9","XLF",2018-07-02,26.370001,26.73,26.35,26.719999,66202800,25.687101
"10","XLF",2018-07-03,26.790001,26.870001,26.42,26.48,30717800,25.456377
"11","XLF",2018-07-05,26.620001,26.68,26.450001,26.540001,40668500,25.514059
"12","XLF",2018-07-06,26.469999,26.780001,26.370001,26.67,41285000,25.639034
"13","XLF",2018-07-09,26.809999,27.309999,26.780001,27.280001,73447400,26.225452
"14","XLF",2018-07-10,27.299999,27.389999,27.1,27.18,51260600,26.12932
"15","XLF",2018-07-11,27.030001,27.190001,26.99,27.049999,46023700,26.004343
"16","XLF",2018-07-12,27.219999,27.24,26.940001,27.1,64876800,26.052414
"17","XLF",2018-07-13,26.99,27.07,26.700001,26.98,64146900,25.937048
"18","XLF",2018-07-16,27.059999,27.48,27.040001,27.459999,55812000,26.398495
"19","XLF",2018-07-17,27.49,27.6,27.34,27.49,55502200,26.427336
"20","XLF",2018-07-18,27.6,27.98,27.559999,27.93,59109200,26.850327
"21","XLF",2018-07-19,27.790001,27.799999,27.469999,27.51,61765100,26.446562
"22","XLF",2018-07-20,27.459999,27.639999,27.360001,27.559999,51562300,26.494629
"23","XLF",2018-07-23,27.559999,27.98,27.549999,27.940001,81516200,26.85994
"24","XLF",2018-07-24,28.049999,28.190001,27.950001,28.02,63133700,26.936848
"25","XLF",2018-07-25,28,28.129999,27.85,28.08,44197200,26.99453
"26","XLF",2018-07-26,28.15,28.26,28.040001,28.07,40056800,26.984917
"27","XLF",2018-07-27,28.059999,28.27,27.969999,28.129999,63149400,27.042593
"28","XLF",2018-07-30,28.15,28.360001,28.110001,28.15,56474100,27.061821
"29","XLF",2018-07-31,28.23,28.24,27.889999,27.950001,84500100,26.869551
"30","XLF",2018-08-01,28.129999,28.27,27.879999,27.950001,64046900,26.869551
"31","XLF",2018-08-02,27.77,28.01,27.68,27.959999,38330700,26.879166
"32","XLF",2018-08-03,27.92,28.120001,27.92,28.120001,34894300,27.03298
"33","XLF",2018-08-06,28.16,28.34,28.1,28.27,38230100,27.177183
"34","XLF",2018-08-07,28.35,28.559999,28.33,28.4,44608600,27.302158
"35","XLF",2018-08-08,28.360001,28.52,28.34,28.469999,47522000,27.369452
"36","XLF",2018-08-09,28.4,28.469999,28.299999,28.299999,29357800,27.206022
"37","XLF",2018-08-10,27.93,28.07,27.83,27.969999,83301400,26.888777
"38","XLF",2018-08-13,27.969999,28.040001,27.690001,27.700001,74413500,26.629217
"39","XLF",2018-08-14,27.799999,28.01,27.719999,27.959999,43659000,26.879166
"40","XLF",2018-08-15,27.73,27.879999,27.610001,27.74,55681100,26.667671
"41","XLF",2018-08-16,27.870001,28.190001,27.870001,28.110001,49534200,27.023369
"42","XLF",2018-08-17,28.030001,28.209999,28.030001,28.17,43193100,27.081051
"43","XLF",2018-08-20,28.17,28.309999,28.129999,28.26,30053700,27.167574
"44","XLF",2018-08-21,28.280001,28.51,28.219999,28.370001,47940000,27.273319
"45","XLF",2018-08-22,28.25,28.379999,28.23,28.27,27323300,27.177183
"46","XLF",2018-08-23,28.26,28.290001,28.1,28.139999,31767800,27.052206
"47","XLF",2018-08-24,28.25,28.299999,28.190001,28.24,22064500,27.148342
"48","XLF",2018-08-27,28.35,28.719999,28.34,28.620001,52254500,27.513659
"49","XLF",2018-08-28,28.700001,28.719999,28.540001,28.59,28896800,27.484812
"50","XLF",2018-08-29,28.59,28.66,28.440001,28.58,34015300,27.475199
"51","XLF",2018-08-30,28.450001,28.559999,28.309999,28.360001,43264100,27.263706
"52","XLF",2018-08-31,28.26,28.35,28.17,28.33,34107800,27.234863
"53","XLF",2018-09-04,28.27,28.5,28.200001,28.469999,43145600,27.369452
"54","XLF",2018-09-05,28.450001,28.639999,28.43,28.49,32727700,27.388678
"55","XLF",2018-09-06,28.450001,28.530001,28.27,28.360001,38328900,27.263706
"56","XLF",2018-09-07,28.42,28.440001,28.209999,28.33,43644300,27.234863
"57","XLF",2018-09-10,28.4,28.440001,28.27,28.299999,29927200,27.206022
"58","XLF",2018-09-11,28.219999,28.41,28.120001,28.33,32065200,27.234863
"59","XLF",2018-09-12,28.33,28.389999,28.049999,28.07,47963400,26.984917
"60","XLF",2018-09-13,28.139999,28.280001,27.969999,28.030001,44977100,26.946463
"61","XLF",2018-09-14,28.07,28.26,28.059999,28.23,34151000,27.138727
"62","XLF",2018-09-17,28.23,28.309999,28.08,28.110001,26907900,27.023369
"63","XLF",2018-09-18,28.18,28.280001,28.059999,28.25,36405600,27.157957
"64","XLF",2018-09-19,28.23,28.82,28.23,28.73,75551800,27.619402
"65","XLF",2018-09-20,28.940001,29.07,28.870001,28.98,78555500,27.859739
"66","XLF",2018-09-21,28.950001,29,28.700001,28.74,64710000,27.751589
"67","XLF",2018-09-24,28.709999,28.75,28.4,28.42,47985100,27.442593
"68","XLF",2018-09-25,28.530001,28.549999,28.299999,28.309999,32964400,27.336374
"69","XLF",2018-09-26,28.35,28.389999,27.9,27.969999,60288100,27.008068
"70","XLF",2018-09-27,28,28.1,27.84,27.870001,57492200,26.911509
"71","XLF",2018-09-28,27.76,27.77,27.540001,27.58,66454900,26.631483
"72","XLF",2018-10-01,27.74,27.889999,27.6,27.690001,49855000,26.7377
"73","XLF",2018-10-02,27.65,27.74,27.469999,27.690001,47629500,26.7377
"74","XLF",2018-10-03,27.870001,28.07,27.790001,27.950001,79591400,26.988756
"75","XLF",2018-10-04,27.940001,28.35,27.92,28.139999,94700800,27.17222
"76","XLF",2018-10-05,28.209999,28.309999,27.93,28,58148700,27.037039
"77","XLF",2018-10-08,27.92,28.280001,27.9,28.190001,56594900,27.220505
